"item1" "item2" "item3" "item4" "item5" "item6" "item7" "item8" "item9" "item10" "item11" "item12"
"72" 4 3 3 3 2 3 3 2 4 3 3 4
"73" 2 2 3 3 3 4 4 3 4 4 4 4
"74" 3 3 3 3 4 2 3 2 3 4 2 3
"75" 2 2 2 2 2 3 3 3 2 2 3 3
"76" 3 3 4 3 4 4 4 4 2 3 3 3
"77" 2 2 3 3 4 4 3 3 4 4 3 3
"78" 3 3 2 3 4 3 3 2 4 4 4 3
"79" 2 2 2 3 2 3 3 3 4 3 4 4
"80" 3 3 3 3 3 3 2 2 3 3 5 3
"81" 3 2 3 3 3 3 3 3 3 3 2 4
"82" 4 4 2 4 3 3 3 3 2 1 2 2
"83" 2 2 2 3 3 4 4 3 4 3 3 4
"84" 4 4 2 4 3 2 2 3 3 2 3 3
"85" 3 3 3 3 3 3 3 3 3 3 3 4
"86" 4 4 2 4 3 3 2 3 2 3 3 2
"87" 3 2 2 3 2 4 4 3 3 3 3 3
"88" 3 3 3 3 2 3 3 3 2 3 3 2
"89" 3 3 3 3 3 3 2 3 3 3 1 3
"90" 4 4 3 4 3 2 2 3 3 4 3 3
"91" 3 3 3 2 3 4 4 4 4 3 3 4
"92" 4 3 4 3 4 3 3 3 4 4 2 3
"93" 3 3 3 2 3 4 3 3 3 3 3 3
"94" 3 3 3 3 3 2 2 2 4 4 3 4
"95" 2 2 2 2 3 3 3 3 3 2 3 3
"96" 3 3 2 4 4 3 3 4 4 3 2 3
"97" 3 3 2 3 2 4 4 4 1 1 2 2
"98" 3 3 3 3 4 2 2 2 4 4 4 4
"99" 2 2 3 2 3 3 3 3 3 3 3 3
"100" 3 3 2 3 3 3 3 3 3 3 3 3
"101" 3 3 4 3 4 3 4 2 1 2 3 2
"102" 4 4 3 5 3 3 3 2 3 3 3 2
"103" 2 2 2 2 4 3 4 4 3 2 4 2
"104" 3 3 3 4 3 2 2 2 3 3 3 4
"105" 2 3 3 3 4 3 3 4 3 3 4 3
"106" 3 3 2 3 3 3 3 3 3 3 3 3
"107" 3 3 4 3 2 4 4 4 2 2 3 2
"108" 3 3 3 3 2 3 3 2 2 2 3 2
"109" 3 2 3 2 2 4 3 4 3 3 4 2
"110" 2 3 4 4 2 3 3 2 3 4 4 4
"111" 3 3 3 3 3 4 4 3 3 4 3 4
"112" 4 4 3 2 5 2 2 2 3 2 3 2
"113" 4 3 4 4 3 4 4 4 4 4 4 4
"114" 3 3 4 2 3 3 3 2 2 2 3 2
"115" 2 2 3 2 3 3 3 3 4 3 3 3
"116" 3 3 2 3 3 2 2 2 3 2 2 3
"117" 4 4 3 4 3 4 4 4 5 4 3 5
"118" 3 3 4 3 3 3 3 3 2 2 2 2
"119" 4 3 3 4 3 3 4 4 4 3 3 4
"120" 3 3 2 3 3 2 2 2 2 3 3 3
"121" 2 3 3 3 2 4 4 4 3 3 3 3
"122" 2 2 3 2 3 3 2 4 3 3 2 3
"123" 4 3 2 4 2 4 3 4 4 4 3 3
"124" 3 2 3 3 3 2 2 2 3 3 2 3
"125" 3 2 3 2 3 3 3 2 3 3 3 3
"126" 2 2 3 3 4 2 3 3 3 3 2 3
"127" 3 3 3 3 3 3 4 4 2 1 4 1
"128" 3 3 3 3 2 3 3 4 4 3 2 4
"129" 4 4 1 3 3 4 4 4 2 2 3 2
"130" 2 2 3 3 2 3 2 2 3 3 2 4
"131" 3 3 3 3 2 3 3 3 2 2 3 2
"132" 4 4 3 3 3 3 3 3 3 3 2 4
"133" 4 4 4 4 3 4 4 4 2 2 3 2
"134" 3 3 2 3 3 3 2 3 3 3 3 3
"135" 4 4 3 4 4 5 5 4 3 3 3 3
"136" 2 2 3 3 3 3 3 3 4 4 3 5
"137" 3 3 3 4 3 4 4 4 3 3 3 3
"138" 3 3 4 3 2 2 3 2 3 4 3 3
"139" 4 4 2 4 4 3 3 3 2 3 2 3
"140" 3 3 3 3 3 2 3 3 2 3 4 2
"141" 3 3 3 3 2 4 4 3 3 3 3 3
"142" 3 3 3 2 2 3 2 2 4 4 3 4
"143" 4 4 4 4 3 3 3 4 3 3 2 3
"144" 3 3 3 3 2 2 1 1 3 3 3 3
"145" 3 3 3 3 3 4 4 3 4 4 3 4
"146" 2 1 2 2 4 3 3 3 2 2 4 3
"147" 3 3 3 4 3 3 4 3 4 3 4 3
"148" 3 3 1 4 2 2 2 2 2 2 4 2
"149" 4 3 3 3 2 3 3 3 3 3 3 3
"150" 2 2 3 3 3 3 3 3 3 3 3 3
"151" 4 3 3 3 4 4 4 3 3 3 4 3
"152" 4 4 3 3 3 1 1 2 4 4 3 4
"153" 3 3 3 3 2 3 3 3 3 3 2 3
"154" 2 2 2 3 3 2 2 2 3 3 3 3
"155" 3 4 2 3 3 3 3 3 2 2 3 2
"156" 2 2 2 3 3 3 3 2 4 3 4 3
"157" 3 3 3 3 3 3 3 3 3 2 3 2
"158" 3 3 3 3 3 4 4 4 4 3 4 4
"159" 3 3 3 3 3 3 4 3 3 2 4 2
"160" 2 2 3 2 3 3 3 3 3 3 3 3
"161" 3 3 4 4 3 3 3 3 2 3 2 3
"162" 3 4 3 3 3 4 4 4 3 3 3 3
"163" 2 3 2 3 3 3 3 3 2 2 2 3
"164" 3 3 3 3 4 3 3 3 4 4 3 5
"165" 3 3 4 2 3 2 2 3 2 3 4 3
"166" 4 4 2 3 4 4 5 4 4 4 3 4
"167" 3 3 3 2 3 3 3 3 3 2 3 3
"168" 4 4 3 5 2 3 4 3 4 4 3 4
"169" 2 3 3 2 3 3 3 3 3 2 2 3
"170" 3 4 3 4 2 4 4 3 4 3 3 3
"171" 3 3 4 3 2 3 3 3 3 3 3 3
"172" 4 4 2 3 3 3 3 3 4 4 4 4
"173" 2 2 4 2 4 4 4 4 3 3 3 2
"174" 3 4 4 4 2 3 3 3 3 4 3 4
"175" 2 2 4 3 3 3 3 4 3 3 3 3
"176" 3 3 3 3 3 2 2 3 3 2 4 3
"177" 2 2 3 2 3 3 4 3 3 3 3 3
"178" 4 3 4 4 2 3 3 3 3 2 3 3
"179" 3 3 5 3 4 3 4 3 3 2 3 3
"180" 3 3 2 3 3 2 2 2 3 3 3 3
"181" 3 3 3 3 2 3 3 3 3 3 3 3
"182" 3 3 2 3 3 2 3 4 2 3 3 3
"183" 3 3 2 2 2 4 3 3 3 3 3 3
"184" 2 3 3 3 3 2 2 2 2 3 4 2
"185" 4 5 3 5 3 3 3 3 2 3 4 4
"186" 3 3 3 4 2 3 3 3 2 2 2 2
"187" 3 3 2 3 3 2 3 2 3 3 3 3
"188" 3 2 3 2 3 2 2 3 2 3 3 2
"189" 4 4 4 5 2 3 3 3 4 4 3 4
"190" 3 3 3 3 3 4 4 4 3 2 4 3
"191" 3 4 4 4 4 2 3 2 4 3 3 3
"192" 3 3 3 3 3 3 3 3 4 4 3 4
"193" 3 3 2 3 3 3 3 3 3 3 3 2
"194" 3 3 2 3 4 4 4 4 3 3 3 3
"195" 4 3 4 4 3 3 3 2 3 4 2 4
"196" 3 3 4 3 2 4 3 3 4 4 1 4
"197" 3 3 3 3 3 3 3 3 3 3 2 2
"198" 3 3 3 3 3 4 4 4 3 3 4 3
"199" 2 1 3 2 2 3 3 2 3 3 2 2
"200" 3 2 3 3 3 3 3 4 4 3 4 4
"201" 2 3 2 3 3 3 3 3 3 3 3 3
"202" 3 4 3 3 3 2 2 1 4 3 2 3
"203" 4 3 2 4 4 3 3 3 3 3 3 3
"204" 3 3 3 2 3 3 3 3 3 3 3 3
"205" 3 3 3 2 3 4 4 4 3 2 3 2
"206" 4 4 4 3 4 3 3 3 4 4 4 3
"207" 1 1 3 2 3 3 4 4 3 3 3 3
"208" 3 3 4 3 3 2 3 3 3 4 2 3
"209" 2 2 3 3 3 3 3 3 2 2 3 2
"210" 3 3 3 4 3 2 2 2 4 4 2 3
"211" 3 3 3 2 3 3 3 3 2 3 3 3
"212" 3 3 4 3 3 3 3 3 3 3 3 4
"213" 2 3 3 2 3 3 3 3 3 3 3 2
"214" 3 3 3 4 3 3 3 2 4 3 4 4
"215" 3 3 3 2 4 3 3 3 2 2 3 3
"216" 4 4 4 4 3 4 4 4 4 3 3 3
"217" 2 2 3 3 3 2 3 2 3 3 3 3
"218" 3 4 3 4 3 3 3 3 3 4 4 4
"219" 3 3 3 3 2 3 3 4 3 3 2 3
"220" 3 2 3 3 3 4 4 4 4 4 3 4
"221" 3 2 4 3 4 3 3 2 3 3 2 2
"222" 4 3 3 3 4 3 3 4 2 3 3 3
"223" 3 4 4 3 3 3 3 3 2 2 2 2
"224" 3 3 3 3 3 4 4 3 4 4 3 3
"225" 4 3 3 4 2 2 3 3 2 3 4 3
"226" 4 3 3 3 3 3 3 3 3 3 3 4
"227" 4 3 4 3 3 3 3 2 2 2 4 2
"228" 1 2 3 2 2 4 4 4 4 4 3 3
"229" 4 4 4 3 3 3 3 3 3 3 4 3
"230" 2 2 4 3 4 3 2 3 4 3 4 3
"231" 4 4 4 3 2 4 4 3 2 2 2 2
"232" 3 2 3 3 3 4 4 3 4 3 4 3
"233" 4 4 3 4 4 3 3 3 2 2 3 3
"234" 2 2 4 3 4 2 2 2 4 3 2 3
"235" 3 3 3 3 3 4 3 3 2 2 4 2
"236" 2 3 3 3 3 2 2 2 3 4 4 4
"237" 3 3 3 3 3 3 3 3 3 3 3 2
"238" 2 2 4 2 4 2 2 3 4 4 4 4
"239" 4 4 4 4 3 4 4 3 3 3 2 2
"240" 3 3 3 3 3 2 2 3 4 4 3 4
"241" 2 3 3 3 3 2 3 3 2 2 3 1
"242" 4 4 3 4 2 4 5 4 4 4 3 4
"243" 3 3 2 3 4 3 3 3 3 2 3 3
"244" 3 3 3 3 2 3 3 3 3 3 3 4
"245" 2 3 3 2 3 3 2 3 3 3 4 3
"246" 3 3 3 3 2 3 3 3 4 4 4 3
"247" 3 3 3 3 4 2 3 3 3 3 2 3
"248" 3 3 4 3 3 4 3 3 3 4 4 4
"249" 3 2 4 3 3 2 3 3 3 3 4 3
"250" 4 4 3 4 3 4 4 4 3 3 3 3
"251" 3 3 3 3 3 2 2 3 2 2 4 3
"252" 3 4 3 4 2 3 3 3 4 3 2 4
"253" 3 3 3 3 3 3 3 3 3 3 4 4
"254" 4 4 3 3 2 3 4 3 4 3 2 4
"255" 3 3 4 3 5 3 2 3 4 3 3 3
"256" 4 3 4 4 3 2 2 2 3 2 3 3
"257" 3 3 3 3 3 4 4 3 4 5 3 5
"258" 3 3 3 3 3 4 3 3 3 3 3 2
"259" 3 3 3 3 3 3 3 4 3 3 4 3
"260" 4 3 4 4 3 2 2 2 3 3 2 3
"261" 2 2 3 1 4 4 4 3 4 5 3 4
"262" 3 3 2 2 3 3 3 3 3 3 3 2
"263" 3 3 2 4 4 3 3 3 4 3 3 3
"264" 2 2 3 2 3 2 2 2 3 3 3 4
"265" 3 3 3 3 3 4 4 3 4 4 3 4
"266" 2 2 4 2 2 2 3 3 3 2 2 2
"267" 3 3 3 3 3 3 3 2 3 3 4 3
"268" 2 2 2 2 3 2 2 2 3 2 4 2
"269" 3 3 3 3 3 3 3 3 5 5 3 4
"270" 3 2 4 2 4 3 3 4 3 3 2 3
"271" 4 3 3 3 3 3 3 2 4 4 3 3
"272" 2 2 3 2 3 3 4 4 3 3 3 3
"273" 4 4 3 4 3 3 3 3 4 4 3 3
"274" 2 3 3 3 3 4 4 4 2 2 4 2
"275" 4 4 2 4 4 3 2 2 4 4 3 4
"276" 3 3 4 3 3 4 4 4 3 3 2 3
"277" 3 3 5 2 2 2 3 3 3 3 2 3
"278" 2 2 3 3 4 4 4 5 1 1 3 2
"279" 3 3 3 3 3 2 3 2 4 3 3 4
"280" 3 3 3 3 3 4 4 5 3 3 2 3
"281" 4 4 3 4 3 3 3 4 3 4 4 4
"282" 3 3 4 3 3 3 3 3 2 2 4 2
"283" 3 3 3 2 2 3 2 3 3 4 2 3
"284" 3 4 3 3 2 3 3 4 2 2 3 2
"285" 2 3 3 3 3 3 3 4 3 4 2 4
"286" 3 3 4 2 3 3 3 3 3 3 3 3
"287" 3 3 2 3 3 3 4 4 3 3 3 3
"288" 3 3 2 4 3 3 3 3 3 2 3 3
"289" 2 2 4 2 3 3 4 4 5 4 3 4
"290" 3 3 2 3 3 2 2 1 3 2 3 3
"291" 2 3 2 2 4 3 4 4 4 4 4 4
"292" 3 3 2 4 3 3 3 3 3 3 3 2
"293" 3 2 3 2 4 4 4 3 4 4 2 4
"294" 4 4 3 4 3 2 2 2 2 3 2 3
"295" 2 2 3 3 3 3 3 4 4 4 3 4
"296" 3 3 4 4 3 4 4 5 2 3 4 2
"297" 3 3 4 2 3 4 3 4 3 3 3 3
"298" 3 3 3 2 3 2 2 2 3 3 3 3
"299" 2 2 3 3 2 3 3 3 4 4 3 4
"300" 3 3 2 3 3 4 4 3 3 2 3 3
"301" 3 3 2 3 2 2 2 2 2 3 2 3
"302" 3 3 3 3 2 3 3 4 2 1 2 2
"303" 3 2 3 2 3 3 3 3 4 4 3 3
"304" 4 3 2 3 4 4 4 4 2 3 3 3
"305" 3 3 3 3 2 2 2 2 3 3 2 3
"306" 2 2 3 4 3 3 3 3 3 3 3 3
"307" 3 3 3 3 3 3 3 3 3 3 3 3
"308" 3 3 3 3 3 4 4 4 2 3 3 2
"309" 4 4 3 3 4 3 3 3 2 2 3 2
"310" 2 2 2 3 3 3 3 3 3 3 3 3
"311" 3 3 2 3 4 4 3 3 4 4 3 4
"312" 2 3 3 3 3 2 3 3 3 3 2 3
"313" 3 4 3 4 3 3 3 3 3 3 4 3
"314" 2 2 3 2 2 2 3 3 3 3 3 2
"315" 4 3 4 3 4 4 3 3 3 3 3 1
"316" 2 2 3 2 2 3 3 2 3 3 2 3
"317" 3 4 3 4 3 3 3 4 3 3 4 3
"318" 2 2 3 2 4 2 2 2 4 4 2 3
"319" 3 3 3 3 3 4 4 3 3 2 3 3
"320" 2 2 3 3 3 2 1 2 3 3 3 3
"321" 4 3 3 3 4 3 3 3 3 2 3 3
"322" 3 3 2 3 3 2 2 2 4 3 2 4
"323" 3 3 3 2 2 3 3 3 3 3 4 3
"324" 3 3 3 4 3 2 2 3 4 4 3 4
"325" 3 4 3 3 3 3 3 3 3 3 3 2
"326" 3 3 3 3 4 3 3 3 4 4 3 4
"327" 2 2 3 3 3 3 3 3 2 3 3 3
"328" 4 4 3 4 2 3 3 3 3 4 3 3
"329" 3 3 3 3 3 3 3 3 3 3 3 3
"330" 3 3 2 3 4 5 5 4 3 3 3 3
"331" 3 2 2 3 3 2 2 3 2 2 3 2
"332" 4 4 3 4 4 3 3 3 3 2 4 3
"333" 3 3 3 3 3 2 3 2 3 3 4 4
"334" 3 4 3 5 3 4 4 4 3 3 3 3
"335" 3 2 3 3 2 3 2 3 3 2 2 2
"336" 4 4 2 4 3 3 2 4 3 4 3 3
"337" 3 3 3 2 3 3 2 3 3 3 2 3
"338" 4 4 4 4 3 3 3 3 3 3 4 3
"339" 3 3 3 2 3 2 3 3 3 4 3 4
"340" 3 3 3 3 2 3 3 2 4 4 3 4
"341" 3 3 3 4 2 4 4 3 3 3 3 2
"342" 2 2 4 2 3 3 3 3 3 2 3 3
"343" 3 3 3 2 3 3 3 3 3 2 4 3
"344" 3 3 4 2 3 2 2 2 4 4 1 3
"345" 3 3 3 4 4 4 4 4 3 3 4 3
"346" 2 2 3 2 2 3 3 3 3 3 3 3
"347" 3 3 1 3 2 4 3 3 3 3 4 3
"348" 2 3 2 2 2 2 2 2 4 4 3 4
"349" 3 3 3 4 3 3 4 3 3 4 3 4
"350" 2 2 3 2 3 3 3 3 3 3 5 2
"351" 3 3 3 4 3 2 3 3 2 3 3 3
"352" 2 3 3 3 2 1 1 2 3 3 4 3
"353" 3 3 3 3 3 4 3 4 2 3 3 3
"354" 3 2 3 2 3 3 4 3 4 3 3 3
"355" 3 3 4 2 1 3 3 2 2 2 3 2
"356" 2 2 3 3 3 4 3 3 3 3 4 3
"357" 4 4 3 4 4 3 3 3 2 2 3 3
"358" 3 3 3 3 4 3 3 3 4 3 3 4
"359" 3 3 3 3 3 2 3 2 3 2 2 2
"360" 4 4 3 4 4 3 3 4 2 3 4 4
"361" 3 3 3 3 3 3 3 3 2 3 3 3
"362" 3 3 3 3 4 4 4 4 3 4 3 3
"363" 2 3 3 3 3 2 2 2 3 3 3 3
"364" 4 4 4 4 4 4 4 4 3 3 3 3
"365" 3 3 3 3 3 3 3 3 2 3 3 2
"366" 3 3 4 4 3 2 3 3 2 2 2 2
"367" 1 1 3 2 2 3 3 3 3 3 3 3
"368" 4 3 3 4 4 3 3 4 5 4 3 3
"369" 3 3 3 3 2 4 4 4 2 2 3 2
"370" 3 4 2 4 4 3 3 3 3 2 4 3
"371" 2 2 2 2 2 4 4 4 2 3 2 3
"372" 4 4 3 3 3 3 3 4 4 4 2 4
"373" 2 2 4 3 2 3 4 3 2 3 3 2
"374" 4 3 2 4 3 2 2 2 3 4 3 3
"375" 3 3 3 3 3 4 3 4 3 3 4 3
"376" 4 3 3 3 3 2 3 2 4 4 4 4
"377" 4 4 3 4 3 4 3 3 2 2 2 3
"378" 3 3 3 3 4 3 3 3 3 4 3 3
"379" 3 3 3 2 2 3 4 4 3 3 3 2
"380" 3 3 2 3 3 4 3 3 2 3 4 3
"381" 4 4 2 4 3 3 4 4 3 2 4 2
"382" 2 2 3 3 1 3 3 3 4 4 3 4
"383" 3 4 3 3 4 3 3 3 3 3 3 3
"384" 3 3 4 3 4 3 3 3 3 3 3 4
"385" 4 4 3 4 2 2 2 2 2 3 3 2
"386" 3 2 3 2 3 2 3 2 3 3 2 3
"387" 3 4 3 3 3 3 3 2 3 3 4 3
"388" 2 2 3 3 3 4 4 4 3 3 2 4
"389" 4 5 3 4 3 2 3 2 2 2 4 2
"390" 3 3 2 2 4 3 3 3 3 3 3 3
"391" 3 3 4 3 3 2 3 3 3 3 2 3
"392" 3 3 4 3 3 3 3 2 4 4 3 4
"393" 4 4 3 3 3 2 3 3 2 2 4 2
"394" 3 3 3 3 2 3 3 3 3 3 3 3
"395" 3 3 4 3 2 3 4 3 3 3 2 3
"396" 3 3 3 3 4 4 4 4 5 4 3 4
"397" 4 3 5 3 4 3 2 3 2 3 4 3
"398" 3 3 4 3 3 3 3 3 4 3 3 4
"399" 2 2 3 3 4 4 4 3 3 3 3 2
"400" 2 2 2 2 4 3 3 3 4 4 3 4
"401" 3 3 3 3 3 3 3 3 3 3 3 3
"402" 3 3 2 3 3 2 2 2 4 4 3 3
"403" 2 2 3 3 2 4 4 4 3 2 2 3
"404" 4 3 3 3 3 3 3 4 2 3 3 4
"405" 2 3 2 3 2 3 3 4 2 2 3 2
"406" 3 4 3 3 3 2 2 2 3 4 2 4
"407" 2 2 3 2 4 4 3 4 3 3 3 2
"408" 4 3 3 3 4 2 2 2 3 3 2 3
"409" 2 3 3 3 4 2 3 3 2 2 3 2
"410" 5 5 2 4 3 2 2 3 4 4 2 4
"411" 2 3 2 2 3 3 4 3 2 2 3 3
"412" 3 3 3 3 3 3 3 4 3 3 3 3
"413" 3 3 3 4 3 3 3 3 2 1 3 1
"414" 3 3 3 3 2 3 4 3 4 4 3 4
"415" 3 2 2 2 3 3 3 3 3 3 3 2
"416" 3 3 4 3 2 4 4 3 4 4 4 3
"417" 3 4 3 4 3 3 2 3 3 3 4 3
"418" 4 4 2 3 3 4 3 2 3 3 3 3
"419" 3 3 4 3 2 3 3 3 2 3 3 3
"420" 1 1 3 2 2 4 4 3 3 4 2 3
"421" 4 4 2 4 3 2 3 3 2 3 4 3
"422" 3 3 4 3 3 3 4 4 4 4 3 3
"423" 3 4 4 3 4 3 3 3 3 2 3 2
"424" 2 2 2 1 4 3 3 2 4 4 4 4
"425" 4 3 3 3 3 2 3 2 3 3 2 3
"426" 2 3 3 3 4 4 4 4 4 4 3 4
"427" 3 3 3 3 2 3 3 3 3 2 3 2
"428" 3 3 2 3 2 3 3 3 3 3 1 4
"429" 3 4 2 3 4 4 4 4 3 4 3 3
"430" 3 3 3 3 3 3 3 3 4 4 2 4
"431" 3 3 3 4 3 4 3 4 3 3 4 3
"432" 2 2 3 2 1 3 3 2 3 3 3 3
"433" 3 3 3 3 3 4 4 4 2 2 4 1
"434" 3 3 3 3 3 3 3 2 3 4 2 3
"435" 2 3 3 3 2 3 3 3 3 2 2 3
"436" 3 2 3 2 3 2 2 3 4 3 2 3
"437" 3 3 4 4 3 3 3 3 2 2 2 2
"438" 4 4 3 4 3 3 3 4 4 3 2 3
"439" 3 3 3 2 3 4 3 3 3 3 3 3
"440" 3 3 3 2 4 2 2 3 4 3 5 3
"441" 3 3 3 3 3 3 3 3 1 2 4 1
"442" 4 4 3 4 2 4 4 4 2 3 3 3
"443" 3 2 4 2 4 3 2 2 2 3 4 2
"444" 3 3 4 3 3 3 3 4 4 4 4 3
"445" 2 3 3 3 3 3 3 3 2 2 4 2
"446" 4 4 3 4 3 4 4 4 2 3 3 3
"447" 2 2 3 2 3 3 2 3 2 2 3 2
"448" 3 3 3 4 2 3 3 3 3 3 3 3
"449" 3 3 2 3 3 3 3 3 3 3 3 3
"450" 4 4 3 3 4 4 4 4 3 3 5 3
"451" 3 3 3 3 4 2 3 2 2 2 3 2
"452" 3 3 3 4 4 3 3 4 3 3 2 3
"453" 4 4 2 3 3 3 3 3 3 3 2 3
"454" 3 3 4 3 2 2 3 2 4 4 3 4
"455" 2 2 2 3 4 3 3 3 2 3 1 3
"456" 3 4 3 3 4 3 3 2 3 3 4 3
"457" 3 3 3 3 4 4 3 3 2 3 3 2
"458" 3 3 3 3 3 3 3 2 3 3 4 3
"459" 2 2 5 2 2 3 3 2 3 3 4 3
"460" 4 4 3 3 4 3 2 2 4 3 2 3
"461" 3 3 3 3 3 2 2 2 1 1 4 2
"462" 3 3 3 3 3 3 3 3 4 3 4 3
"463" 2 2 4 2 2 2 2 2 3 3 3 3
"464" 4 3 3 3 3 4 4 3 4 3 4 3
"465" 3 3 4 3 3 2 2 2 2 2 3 3
"466" 3 3 2 4 4 3 3 3 3 3 3 3
"467" 3 3 3 2 3 2 2 2 3 3 3 3
"468" 3 3 2 3 3 3 3 4 3 4 3 4
"469" 3 3 3 3 2 3 3 2 3 3 3 3
"470" 4 4 3 4 4 3 3 3 3 3 4 3
"471" 3 3 3 2 3 4 3 3 2 2 4 2
"472" 3 3 3 3 4 2 2 3 4 3 3 4
"473" 3 3 3 4 3 3 3 3 3 3 4 4
"474" 4 4 4 3 3 3 3 2 5 4 4 5
"475" 3 2 3 3 3 4 5 5 3 2 3 2
"476" 2 2 3 3 4 3 2 3 3 3 2 3
"477" 4 4 2 3 5 3 3 3 4 4 3 4
"478" 4 4 4 3 3 3 2 3 3 3 3 3
"479" 3 3 3 3 3 4 4 4 3 3 4 3
"480" 2 2 3 2 3 2 3 3 3 3 3 3
"481" 4 4 3 3 3 2 2 2 3 2 3 2
"482" 3 3 2 3 3 3 3 3 4 4 4 5
"483" 3 3 4 3 3 4 4 4 3 3 3 3
"484" 2 2 3 2 4 3 3 3 2 2 3 2
"485" 4 3 4 3 4 2 2 2 3 3 3 3
"486" 3 3 4 2 3 4 4 4 3 3 2 3
"487" 3 3 3 3 3 3 3 3 3 3 3 3
"488" 2 2 2 2 3 3 3 3 4 4 3 4
"489" 3 3 3 3 3 2 2 2 3 3 3 3
"490" 3 3 3 3 3 4 4 3 3 3 4 2
"491" 2 2 1 3 4 3 2 3 4 3 3 3
"492" 2 2 2 1 3 3 3 3 3 3 3 3
"493" 3 3 2 3 3 2 2 2 3 3 4 3
"494" 3 4 2 4 4 3 3 4 4 4 3 3
"495" 5 4 3 4 4 3 3 3 2 2 3 2
"496" 3 2 3 3 2 3 2 3 3 3 3 4
